

wavelength(nm), Y
1553.33, -31.8364
1553.32, -31.8107
1553.31, -31.7856
1553.29, -31.761
1553.28, -31.7371
1553.26, -31.7137
1553.25, -31.6909
1553.23, -31.6687
1553.22, -31.6471
1553.2, -31.6261
1553.19, -31.6056
1553.17, -31.5857
1553.16, -31.5663
1553.14, -31.5475
1553.13, -31.5293
1553.11, -31.5116
1553.1, -31.4945
1553.08, -31.4779
1553.07, -31.4619
1553.05, -31.4464
1553.04, -31.4315
1553.02, -31.4171
1553.01, -31.4033
1552.99, -31.39
1552.98, -31.3772
1552.96, -31.365
1552.95, -31.3533
1552.93, -31.3422
1552.92, -31.3316
1552.9, -31.3215
1552.89, -31.312
1552.87, -31.303
1552.86, -31.2945
1552.84, -31.2865
1552.83, -31.2791
1552.81, -31.2722
1552.8, -31.2658
1552.78, -31.26
1552.77, -31.2546
1552.75, -31.2498
1552.74, -31.2455
1552.72, -31.2418
1552.71, -31.2385
1552.69, -31.2358
1552.68, -31.2336
1552.66, -31.2319
1552.65, -31.2308
1552.63, -31.2302
1552.62, -31.23
1552.6, -31.2304
1552.59, -31.2314
1552.57, -31.2328
1552.56, -31.2348
1552.54, -31.2373
1552.53, -31.2403
1552.51, -31.2438
1552.5, -31.2479
1552.48, -31.2525
1552.47, -31.2576
1552.46, -31.2632
1552.44, -31.2693
1552.43, -31.276
1552.41, -31.2832
1552.4, -31.2909
1552.38, -31.2992
1552.37, -31.308
1552.35, -31.3173
1552.34, -31.3271
1552.32, -31.3375
1552.31, -31.3484
1552.29, -31.3599
1552.28, -31.3718
1552.26, -31.3843
1552.25, -31.3974
1552.23, -31.411
1552.22, -31.4251
1552.2, -31.4398
1552.19, -31.4551
1552.17, -31.4708
1552.16, -31.4872
1552.14, -31.504
1552.13, -31.5215
1552.11, -31.5395
1552.1, -31.558
1552.08, -31.5771
1552.07, -31.5968
1552.05, -31.617
1552.04, -31.6378
1552.02, -31.6592
1552.01, -31.6812
1551.99, -31.7037
1551.98, -31.7268
1551.96, -31.7505
1551.95, -31.7748
1551.93, -31.7996
1551.92, -31.8251
1551.9, -31.8511
1551.89, -31.8778
1551.87, -31.9051
1551.86, -31.9329
1551.84, -31.9614
1551.83, -31.9905
1551.81, -32.0202
1551.8, -32.0505
1551.78, -32.0815
1551.77, -32.1131
1551.76, -32.1453
1551.74, -32.1782
1551.73, -32.2117
1551.71, -32.2458
1551.7, -32.2807
1551.68, -32.3161
1551.67, -32.3523
1551.65, -32.3891
1551.64, -32.4266
1551.62, -32.4648
1551.61, -32.5037
1551.59, -32.5432
1551.58, -32.5835
1551.56, -32.6245
1551.55, -32.6661
1551.53, -32.7086
1551.52, -32.7517
1551.5, -32.7956
1551.49, -32.8402
1551.47, -32.8856
1551.46, -32.9317
1551.44, -32.9786
1551.43, -33.0262
1551.41, -33.0747
1551.4, -33.1239
1551.38, -33.174
1551.37, -33.2248
1551.35, -33.2765
1551.34, -33.329
1551.32, -33.3823
1551.31, -33.4365
