

frequency(GHz), Y
28.74, -2.7304
28.77, -2.73492
28.8, -2.73941
28.83, -2.74388
28.86, -2.74832
28.89, -2.75273
28.92, -2.75711
28.95, -2.76147
28.98, -2.7658
29.01, -2.7701
29.04, -2.77437
29.07, -2.77861
29.1, -2.78283
29.13, -2.78701
29.16, -2.79117
29.19, -2.79529
29.22, -2.79939
29.25, -2.80345
29.28, -2.80749
29.31, -2.8115
29.34, -2.81547
29.37, -2.81942
29.4, -2.82333
29.43, -2.82721
29.46, -2.83106
29.49, -2.83489
29.52, -2.83868
29.55, -2.84243
29.58, -2.84616
29.61, -2.84986
29.64, -2.85352
29.67, -2.85716
29.7, -2.86076
29.73, -2.86433
29.76, -2.86788
29.79, -2.87139
29.82, -2.87486
29.85, -2.87831
29.88, -2.88173
29.91, -2.88512
29.94, -2.88847
29.97, -2.8918



