

wavelength(nm), Y
1345.65, 0.271312
1345.62, 0.272753
1345.6, 0.274198
1345.58, 0.275646
1345.56, 0.277097
1345.54, 0.278551
1345.51, 0.280007
1345.49, 0.281466
1345.47, 0.282929
1345.45, 0.284393
1345.43, 0.285861
1345.41, 0.287332
1345.38, 0.288805
1345.36, 0.290281
1345.34, 0.29176
1345.32, 0.293242
1345.3, 0.294727
1345.27, 0.296214
1345.25, 0.297705
1345.23, 0.299198
1345.21, 0.300694
1345.19, 0.302193
1345.16, 0.303695
1345.14, 0.3052
1345.12, 0.306708
1345.1, 0.308218
1345.08, 0.309732
1345.05, 0.311248
1345.03, 0.312767
1345.01, 0.314289
1344.99, 0.315813
1344.97, 0.317341
1344.94, 0.318871
1344.92, 0.320403
1344.9, 0.321939
1344.88, 0.323476
1344.86, 0.325017
1344.83, 0.326559
1344.81, 0.328104
1344.79, 0.329651
1344.77, 0.331201
1344.75, 0.332752
1344.72, 0.334306
1344.7, 0.335861
1344.68, 0.337419
1344.66, 0.338979
1344.64, 0.34054
1344.61, 0.342104
1344.59, 0.343669
1344.57, 0.345236
1344.55, 0.346805
1344.53, 0.348376
1344.5, 0.349948
1344.48, 0.351522
1344.46, 0.353098
1344.44, 0.354668
1344.42, 0.356234
1344.4, 0.3578
1344.37, 0.359368
1344.35, 0.360938
1344.33, 0.362509
1344.31, 0.364081
1344.29, 0.365655
1344.26, 0.36723
1344.24, 0.368806
1344.22, 0.370384
1344.2, 0.371963
1344.18, 0.373544
1344.15, 0.375125
1344.13, 0.376709
1344.11, 0.378293
1344.09, 0.379879
1344.07, 0.381466
1344.04, 0.383054
1344.02, 0.384644
1344, 0.386235
1343.98, 0.387828
1343.96, 0.389421
1343.93, 0.391016
1343.91, 0.392612
1343.89, 0.394209
1343.87, 0.395808
1343.85, 0.397407
1343.82, 0.399008
1343.8, 0.40061
1343.78, 0.402212
1343.76, 0.403816
1343.74, 0.405421
1343.72, 0.407026
1343.69, 0.408632
1343.67, 0.410239
1343.65, 0.411847
1343.63, 0.413455
1343.61, 0.415064
1343.58, 0.416674
1343.56, 0.418284
1343.54, 0.419895
1343.52, 0.421506
1343.5, 0.423117
1343.47, 0.424729
1343.45, 0.426341
1343.43, 0.427954
1343.41, 0.429566
1343.39, 0.431179
1343.36, 0.432793
1343.34, 0.434406
1343.32, 0.43602
1343.3, 0.437634
1343.28, 0.439249
1343.26, 0.440863
1343.23, 0.442478
1343.21, 0.444093
1343.19, 0.445708
1343.17, 0.447324
1343.15, 0.448939
1343.12, 0.450555
1343.1, 0.45217
1343.08, 0.453786
1343.06, 0.455402
1343.04, 0.457018
1343.01, 0.458634
1342.99, 0.460249
1342.97, 0.461865
1342.95, 0.46348
1342.93, 0.465095
1342.9, 0.46671
1342.88, 0.468325
1342.86, 0.469939
1342.84, 0.471552
1342.82, 0.473165
1342.8, 0.474777
1342.77, 0.476388
1342.75, 0.477999
1342.73, 0.479609
1342.71, 0.481217
1342.69, 0.482825
1342.66, 0.484432
1342.64, 0.486038
1342.62, 0.487642
1342.6, 0.489245
1342.58, 0.490847
1342.55, 0.492448
1342.53, 0.494048
1342.51, 0.495646
1342.49, 0.497243
1342.47, 0.498839
1342.45, 0.500434
1342.42, 0.502027
1342.4, 0.503619
1342.38, 0.50521
1342.36, 0.5068
1342.34, 0.508389
1342.31, 0.509977
1342.29, 0.511564
1342.27, 0.51315
1342.25, 0.514735
1342.23, 0.516319
1342.2, 0.517902
1342.18, 0.519484
1342.16, 0.521065
1342.14, 0.522646
1342.12, 0.524225
1342.1, 0.525804
1342.07, 0.527382
1342.05, 0.528959
1342.03, 0.530535
1342.01, 0.532109
1341.99, 0.533683
1341.96, 0.535256
1341.94, 0.536827
1341.92, 0.538398
1341.9, 0.539967
1341.88, 0.541534
1341.85, 0.5431
1341.83, 0.544665
1341.81, 0.546228
1341.79, 0.547789
1341.77, 0.549348
1341.75, 0.550906
1341.72, 0.552462
1341.7, 0.554016
1341.68, 0.555568
1341.66, 0.557118
1341.64, 0.558665
1341.61, 0.560211
1341.59, 0.561755
1341.57, 0.563296
1341.55, 0.564835
1341.53, 0.566372
1341.51, 0.567907
1341.48, 0.56944
1341.46, 0.570971
1341.44, 0.572499
1341.42, 0.574026
1341.4, 0.57555
1341.37, 0.577072
